Zone,Quest,AP,Sample,Bronze Material,,,,,,,,,,,,,Silver Material,,,,,,,,,,,,,,,,,,,,,,Gold Material,,,,,,,,,,,,,,,,,,Quest,Gem,,,,,,,,Magic Gem,,,,,,,,Secret Gem,,,,,,,Quest,Piece,,,,,,,,Monument,,,,,,,,Blaze,,,,,,,,Hellfire,,,,,,,Quest,Bond/ AP,EXP/AP,QP/AP,Portrait,,Lunchtime,,,Portrait + Lunchtime,,,Teatime,,,Portrait + Teatime,,,Lunch + Teatime,,,3 Different CEs,,,,Highest Bond/AP,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,non-MLB,1,2,1 Portrait                1 Lunch,2 Portrait                 1 Lunch,1 Portrait                 2 Lunch,Support,Self,2 Tea,1 Portrait                1 Tea,2 Portrait                1 Tea,1 Portrait                2 Tea,1 Lunch                Supp-Tea,2 Lunch                Self-Tea,1 Lunch                2 Tea,1 Portrait                Lunch-Tea,2 Portrait                Lunch-Tea,1 Portrait                2 Lun-Tea,1 Portrait                Lun-2 Tea,Max,Pattern
Orleans,Orleans,8,1211,,61.3,76.3,90.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orleans,,,81.4,52.9,,,,,,,,138.4,,,,,,,,,,,,Orleans,,,,,83.5,,,,,,,,,,,,,,,144.2,,,,,,,,,,,,Orleans,19.38,49.0,292.5,25.63,31.88,19.75,21.25,23.25,27.50,33.75,29.50,22.25,20.25,23.25,28.50,32.75,29.50,24.13,24.13,25.13,30.38,34.72,30.38,31.38,34.72,
Orleans,Paris,13,1143,,82.1,132.7,158.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paris,,95.9,,127.0,,,,,,,,251.8,,,,,,,,,,,,Paris,646.0,589.5,1143.0,,,,,,,,,,,,,,,,,5.9,,,,,,,,,,,,Paris,24.23,134.8,340.0,28.08,31.92,24.69,26.62,29.08,30.46,34.31,32.92,27.85,25.38,29.08,31.69,33.08,32.92,30.23,30.23,31.46,34.08,35.52,34.08,35.31,35.52,
Septem,Appia Road,9,1280,25.7,,,117.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Appia Road,66.6,60.6,101.9,,,,,,,,,,,,,,,,,,,,,Appia Road,,,,,,,97.6,,,,,,,,,,,,,,,,,,,,,,,,,Appia Road,19.44,56.0,288.9,25.00,30.56,19.78,21.33,23.33,26.89,32.44,28.89,22.33,20.33,23.33,27.89,31.44,28.89,24.22,24.22,25.22,29.78,33.42,29.78,30.78,33.42,
Septem,Rome,9,1811,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rome,36.9,,84.0,,,,,,,,,,,,,,,,,,,,,Rome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rome,19.44,56.0,288.9,25.00,30.56,19.78,21.33,23.33,26.89,32.44,28.89,22.33,20.33,23.33,27.89,31.44,28.89,24.22,24.22,25.22,29.78,33.42,29.78,30.78,33.42,
Septem,Mt. Etna,9,1117,,,,,,,,,,,,,,,111.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mt. Etna,,,,,,26.9,,,,,,,,,,,,,,,,,,Mt. Etna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mt. Etna,19.44,56.0,288.9,25.00,30.56,19.78,21.33,23.33,26.89,32.44,28.89,22.33,20.33,23.33,27.89,31.44,28.89,24.22,24.22,25.22,29.78,33.42,29.78,30.78,33.42,
Septem,Florence,9,1121,29.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Florence,180.2,35.5,87.7,,,,,,,,,,,,,,,,,,,,,Florence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Florence,19.44,56.0,288.9,25.00,30.56,19.78,21.33,23.33,26.89,32.44,28.89,22.33,20.33,23.33,27.89,31.44,28.89,24.22,24.22,25.22,29.78,33.42,29.78,30.78,33.42,
Septem,Mediolanum,9,1101,25.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mediolanum,56.3,,44.8,,,,,,,,,,,,,,,,,,,,,Mediolanum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mediolanum,19.44,56.0,288.9,25.00,30.56,19.78,21.33,23.33,26.89,32.44,28.89,22.33,20.33,23.33,27.89,31.44,28.89,24.22,24.22,25.22,29.78,33.42,29.78,30.78,33.42,
Septem,Germania,15,1991,,30.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,506.2,,,,,,,,,,,,,,,,,,Germania,98.1,308.3,150.1,,,,,,,,,,,,195.6,,,,,,,,,Germania,,,,,,,,,,,,,,,,,,,,,,,304.8,,,,,,,,,Germania,27.67,303.5,381.3,31.00,34.33,28.20,30.40,33.20,33.73,37.07,36.53,31.80,29.00,33.20,35.13,35.67,36.53,34.53,34.53,35.93,37.87,38.45,37.87,39.27,39.27,
Septem,Massilia,9,1103,64.0,,,55.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Massilia,86.3,,107.9,,,,,,,,,,,,,,,,,,,,,Massilia,,,,87.8,,,88.6,,,,,,,,,,,,,,,,,,,,,,,,,Massilia,19.44,56.0,288.9,25.00,30.56,19.78,21.33,23.33,26.89,32.44,28.89,22.33,20.33,23.33,27.89,31.44,28.89,24.22,24.22,25.22,29.78,33.42,29.78,30.78,33.42,
Septem,Gaul,9,1181,61.1,,,114.3,,,,,,,,,,,,151.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gaul,,98.4,73.8,,,,54.5,,,,,,,,,,,,,,,,,Gaul,97.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gaul,21.67,70.2,317.8,27.22,32.78,22.00,23.78,26.00,29.33,34.89,31.56,24.89,22.67,26.00,30.44,33.78,31.56,27.00,27.00,28.11,32.56,35.97,32.56,33.67,35.97,
Septem,Britannia,10,1135,,,,,,,,,,,,,,85.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Britannia,39.7,,40.7,,,61.4,,,,,,,,,,,,,,,,,,Britannia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Britannia,21.50,76.4,312.0,26.50,31.50,21.90,23.60,25.80,28.60,33.60,30.80,24.70,22.50,25.80,29.70,32.50,30.80,26.80,26.80,27.90,31.80,34.68,31.80,32.90,34.68,
Septem,Shaped Island,9,1042,,47.8,,107.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shaped Island,,38.8,167.5,,,,,,,,,,,,,,,,,,,,,Shaped Island,,,,,,,91.0,,,,,,,,,,,,,,,,,,,,,,,,,Shaped Island,21.67,70.2,317.8,27.22,32.78,22.00,23.78,26.00,29.33,34.89,31.56,24.89,22.67,26.00,30.44,33.78,31.56,27.00,27.00,28.11,32.56,35.97,32.56,33.67,35.97,
Septem,Alliance Capital,10,1175,55.7,,,127.7,,,,,,,,,,,,405.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alliance Capital,221.7,92.5,,,,,80.5,,,,,,,,,,,,,,,,,Alliance Capital,,,,,,,90.4,,,,,,,,,,,,,,,,,,,,,,,,,Alliance Capital,21.50,76.4,312.0,26.50,31.50,21.90,23.60,25.80,28.60,33.60,30.80,24.70,22.50,25.80,29.70,32.50,30.80,26.80,26.80,27.90,31.80,34.68,31.80,32.90,34.68,
Zone,Quest,AP,Sample,Bronze Material,,,,,,,,,,,,,Silver Material,,,,,,,,,,,,,,,,,,,,,,Gold Material,,,,,,,,,,,,,,,,,,Quest,Gem,,,,,,,,Magic Gem,,,,,,,,Secret Gem,,,,,,,Quest,Piece,,,,,,,,Monument,,,,,,,,Blaze,,,,,,,,Hellfire,,,,,,,Quest,Bond/ AP,EXP/AP,QP/AP,Portrait,,Lunchtime,,,Portrait + Lunchtime,,,Teatime,,,Portrait + Teatime,,,Lunch + Teatime,,,3 Different CEs,,,,Highest Bond/AP,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,non-MLB,1,2,1 Portrait                1 Lunch,2 Portrait                 1 Lunch,1 Portrait                 2 Lunch,Support,Self,2 Tea,1 Portrait                1 Tea,2 Portrait                1 Tea,1 Portrait                2 Tea,1 Lunch                Supp-Tea,2 Lunch                Self-Tea,1 Lunch                2 Tea,1 Portrait                Lunch-Tea,2 Portrait                Lunch-Tea,1 Portrait                2 Lun-Tea,1 Portrait                Lun-2 Tea,Max,Pattern
Okeanos,Pirate Ship,12,7667,20.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pirate Ship,59.5,46.8,,,,,,,,,,,,,,,,,,,,,,Pirate Ship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pirate Ship,24.58,107.3,346.7,28.75,32.92,25.00,27.00,29.50,31.17,35.33,33.67,28.25,25.75,29.50,32.42,34.08,33.67,30.67,30.67,31.92,34.83,36.56,34.83,36.08,36.56,
Okeanos,Pirate Island,13,1260,23.2,,,113.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pirate Island,,52.7,,,,,79.1,,,,,,,,,,,,,,,,,Pirate Island,,,,131.0,,,,,,,,606.7,,,,,,,,,,,,,,,,,,,,Pirate Island,24.23,134.8,340.0,28.08,31.92,24.69,26.62,29.08,30.46,34.31,32.92,27.85,25.38,29.08,31.69,33.08,32.92,30.23,30.23,31.46,34.08,35.52,34.08,35.31,35.52,
Okeanos,King's Abode Island,13,1159,48.4,,,101.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,King's Abode Island,,88.6,,,,,121.5,,,,,,,,,,,,,,,,,King's Abode Island,,,,,,,115.7,,,,,,,,643.8,,,,,,,,,,,,,,,,,King's Abode Island,25.77,172.9,360.0,29.62,33.46,26.23,28.31,30.92,32.15,36.00,34.77,29.62,27.00,30.92,33.46,34.69,34.77,32.15,32.15,33.46,36.00,37.29,36.00,37.31,37.31,
Okeanos,Mapped Island,13,1890,,,35.4,100.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapped Island,49.7,81.9,,,,,,,,,,,,,,,,,,,,,,Mapped Island,,,,,,,134.7,,,,,,,,800.2,,,,,,,,,,,,,,,,,Mapped Island,25.77,172.9,360.0,29.62,33.46,26.23,28.31,30.92,32.15,36.00,34.77,29.62,27.00,30.92,33.46,34.69,34.77,32.15,32.15,33.46,36.00,37.29,36.00,37.31,37.31,
Okeanos,Sunken Rock Seas,17,1328,,47.0,,,,,,,,,,,,,,,109.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunken Rock Seas,,65.2,,,107.4,,,,,,,,73.3,,,,,,,,,,,Sunken Rock Seas,,,,,,,,,,,,,,,,,,,,,320.5,,,,,,,,,,,Sunken Rock Seas,30.29,479.5,412.9,33.24,36.18,30.88,33.29,36.35,36.24,39.18,39.29,34.82,31.76,36.35,37.76,37.65,39.29,37.82,37.82,39.35,40.76,40.69,40.76,42.29,42.29,
Okeanos,Two-Current Sea,14,1270,55.9,,,,,,,,,,,,,,,126.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Two-Current Sea,,72.5,,,,,73.1,,,,,,,,309.1,,,,,,,,,Two-Current Sea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Two-Current Sea,26.79,238.3,371.4,30.36,33.93,27.29,29.43,32.14,33.00,36.57,35.71,30.79,28.07,32.14,34.36,35.21,35.71,33.43,33.43,34.79,37.00,37.91,37.00,38.36,38.36,
Okeanos,Island of Wyverns,14,2500,,,28.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Island of Wyverns,,,,32.5,,,,,,,,295.6,,,,,,,,,,,,Island of Wyverns,,,,,,,,,,,,,,,,,,,,290.3,,,,,,,,,,,,Island of Wyverns,28.21,280.6,390.0,31.79,35.36,28.71,31.00,33.86,34.57,38.14,37.43,32.43,29.57,33.86,36.00,36.71,37.43,35.21,35.21,36.64,38.79,39.55,38.79,40.21,40.21,
Okeanos,Caldera Island,17,1588,,,,,,,,,,,,,,108.1,,,,,,,,133.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Caldera Island,43.6,,,49.9,,,,,,,,,,,,,,,,,,,,Caldera Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Caldera Island,32.65,577.4,443.5,35.59,38.53,33.29,35.88,39.18,38.82,41.76,42.12,37.53,34.24,39.18,40.47,40.12,42.12,40.76,40.76,42.41,43.71,43.40,43.71,45.35,45.35,
Okeanos,Stormy Seas,15,1910,,,,,,,,,,,,,,,69.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stormy Seas,,,,,,30.0,,,,,,,,,,,,,,,,,,Stormy Seas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stormy Seas,27.67,303.5,381.3,31.00,34.33,28.20,30.40,33.20,33.73,37.07,36.53,31.80,29.00,33.20,35.13,35.67,36.53,34.53,34.53,35.93,37.87,38.45,37.87,39.27,39.27,
Okeanos,Archipelago (Quiet Bay),15,1430,82.8,,127.7,63.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Archipelago (Quiet Bay),50.4,,,,,,,,,,,,,,,,,,,,,,,Archipelago (Quiet Bay),,,,,156.8,,146.8,,,,,,575.0,,739.3,,,,,,,,,,,,,,,,,Archipelago (Quiet Bay),29.00,347.2,398.7,32.33,35.67,29.53,31.87,34.80,35.20,38.53,38.13,33.33,30.40,34.80,36.67,37.07,38.13,36.20,36.20,37.67,39.53,39.98,39.53,41.00,41.00,
Okeanos,Archi (Hidden Island),16,1146,,,,,,,,,,,,,,,,,,,,,,,,60.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Archi (Hidden Island),34.3,,,,,,,,305.6,,,,,,,,,,,,,,,Archi (Hidden Island),,,,,,,,,,,,,,,,,321.6,,,,,,,,,,,,,,,Archi (Hidden Island),29.69,413.5,406.3,32.81,35.94,30.25,32.63,35.63,35.75,38.88,38.75,34.13,31.13,35.63,37.25,37.38,38.75,37.06,37.06,38.56,40.19,40.36,40.19,41.69,41.69,
Okeanos,Bountiful Sea,18,18224,,,,,,,,,,,,,,60.0,,,,191.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bountiful Sea,111.7,,77.7,,,,,,,180.0,352.7,,,,,,,,,,,,,Bountiful Sea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bountiful Sea,34.17,697.3,462.2,36.94,39.72,34.83,37.56,41.00,40.33,43.11,43.78,39.28,35.83,41.00,42.06,41.39,43.78,42.67,42.67,44.39,45.44,44.82,45.44,47.17,47.17,
London,Old Street,15,1100,,,,,,,,,,,,,,,,,,,123.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Old Street,,,,,,26.1,,,,,,,,,,,,,,,,,,Old Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Old Street,29.00,347.2,398.7,32.33,35.67,29.53,31.87,34.80,35.20,38.53,38.13,33.33,30.40,34.80,36.67,37.07,38.13,36.20,36.20,37.67,39.53,39.98,39.53,41.00,41.00,
London,White Chapel,15,1142,,,,140.4,,,,,,,,,,,,,,,130.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,White Chapel,,,,,,35.7,,,,,,,,323.6,,,,,,,,,,White Chapel,,,,,,167.9,,,,,,,,856.5,,,,,,,,,,,,,,,,,,White Chapel,29.00,347.2,398.7,32.33,35.67,29.53,31.87,34.80,35.20,38.53,38.13,33.33,30.40,34.80,36.67,37.07,38.13,36.20,36.20,37.67,39.53,39.98,39.53,41.00,41.00,
London,City of London,15,1102,,,,,,,,,,,,,,,,,,,,,131.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,City of London,,,26.5,,,,,,,,,,,,,,,,,,,,,City of London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,City of London,29.00,347.2,398.7,32.33,35.67,29.53,31.87,34.80,35.20,38.53,38.13,33.33,30.40,34.80,36.67,37.07,38.13,36.20,36.20,37.67,39.53,39.98,39.53,41.00,41.00,
London,Soho,16,1120,,,,97.9,,,,,,,,,,,,,,,275.7,,174.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Soho,,,238.9,,,172.3,,,,,331.9,,,271.5,,,,,,,,,,Soho,,,,,186.7,,,,,,,,338.1,,,,,,321.8,,,,,,,,,,,,,Soho,28.44,368.5,390.0,31.56,34.69,29.00,31.25,34.13,34.38,37.50,37.25,32.69,29.81,34.13,35.81,36.06,37.25,35.50,35.50,36.94,38.63,38.92,38.63,40.06,40.06,
London,Westminster,16,1113,,,,104.8,,,,,,,,,,,,,,,,,133.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Westminster,,,60.2,,,,,,,,468.6,,,,,,,,,,,,,Westminster,,,,,172.9,,,,,,,,349.2,,,,,,295.5,,,,,,,,,,,,,Westminster,28.44,368.5,390.0,31.56,34.69,29.00,31.25,34.13,34.38,37.50,37.25,32.69,29.81,34.13,35.81,36.06,37.25,35.50,35.50,36.94,38.63,38.92,38.63,40.06,40.06,
London,Regent Park,16,1134,,,,,,,,,,,,,,,,,,,162.0,348.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Regent Park,70.3,,,,74.4,,,,270.8,,,,,,,,,,,,,,,Regent Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Regent Park,28.44,368.5,390.0,31.56,34.69,29.00,31.25,34.13,34.38,37.50,37.25,32.69,29.81,34.13,35.81,36.06,37.25,35.50,35.50,36.94,38.63,38.92,38.63,40.06,40.06,
London,Clerkenwell,18,4928,,51.8,,,,,,,,,,,,,,,,,72.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clerkenwell,89.7,,,,,240.2,,,,,,,,117.6,,,,,,,,614.8,,Clerkenwell,,,,,,,,,,,,,,,,,,,,,,365.5,,,,,,,,,,Clerkenwell,34.17,697.3,462.2,36.94,39.72,34.83,37.56,41.00,40.33,43.11,43.78,39.28,35.83,41.00,42.06,41.39,43.78,42.67,42.67,44.39,45.44,44.82,45.44,47.17,47.17,
London,Southwark,19,13616,,68.7,,,,,,,,,,,,,,,,,,,62.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Southwark,,131.0,58.9,,,,,,,,201.0,,,,,,,,,,,,,Southwark,,,,,,,,,,,,,,,,,,,211.2,,,,,,,,,,,,,Southwark,34.47,765.1,465.3,37.11,39.74,35.16,37.89,41.37,40.53,43.16,44.00,39.63,36.16,41.37,42.26,41.42,44.00,43.05,43.05,44.79,45.68,44.88,45.68,47.42,47.42,
London,Hyde Park,20,19810,,54.4,,,,,,,,,,,,,,,,,,74.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hyde Park,,,104.7,,240.7,,,,,,,,130.1,,,,,,,,639.9,,,Hyde Park,,,,,,,,,,,,,,,,,,,,,359.1,,,,,,,,,,,Hyde Park,34.75,832.4,468.0,37.25,39.75,35.40,38.20,41.70,40.70,43.20,44.20,39.95,36.45,41.70,42.45,41.45,44.20,43.40,43.40,45.15,45.90,44.94,45.90,47.65,47.65,
E Pluribus Unum,Black Hills,17,1110,,,,,,,,,,,,,,,,,,,104.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black Hills,,41.8,,,,,,,,,,,,,,,,,,,,,,Black Hills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black Hills,31.47,527.5,428.2,34.41,37.35,32.06,34.59,37.76,37.53,40.47,40.71,36.18,33.00,37.76,39.12,38.88,40.71,39.29,39.29,40.88,42.24,42.04,42.24,43.82,43.82,
E Pluribus Unum,Riverton,17,1128,40.5,,,51.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Riverton,127.0,325.0,330.6,,,,,,,,,,,,,,,,,,,,,Riverton,,,81.9,,,,,,,,217.9,,,,,,,,,,,,,,,,,,,,,Riverton,31.47,527.5,428.2,34.41,37.35,32.06,34.59,37.76,37.53,40.47,40.71,36.18,33.00,37.76,39.12,38.88,40.71,39.29,39.29,40.88,42.24,42.04,42.24,43.82,43.82,
E Pluribus Unum,Denver,17,1152,,,,138.9,,,,,,,,,,,,,,,100.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Denver,,70.4,,,,,,,,179.7,,,,,,,,,,,,,,Denver,,,158.4,,,,,,,,810.6,,,,,,,,,,,,,,,,,,,,,Denver,31.47,527.5,428.2,34.41,37.35,32.06,34.59,37.76,37.53,40.47,40.71,36.18,33.00,37.76,39.12,38.88,40.71,39.29,39.29,40.88,42.24,42.04,42.24,43.82,43.82,
E Pluribus Unum,Deming,17,10731,,,27.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deming,,,,46.2,,,,,,,,253.2,,,,,,,,,,,,Deming,,,,,,,,,,,,,,,,,,,,304.9,,,,,,,,,,,,Deming,32.65,577.4,443.5,35.59,38.53,33.29,35.88,39.18,38.82,41.76,42.12,37.53,34.24,39.18,40.47,40.12,42.12,40.76,40.76,42.41,43.71,43.40,43.71,45.35,45.35,
E Pluribus Unum,Dallas,17,8081,25.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dallas,,176.0,65.9,,,,,,,,,,,,,,,,,,,,,Dallas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dallas,32.65,577.4,443.5,35.59,38.53,33.29,35.88,39.18,38.82,41.76,42.12,37.53,34.24,39.18,40.47,40.12,42.12,40.76,40.76,42.41,43.71,43.40,43.71,45.35,45.35,
E Pluribus Unum,Alcatraz,18,1210,35.2,,,159.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alcatraz,315.7,,71.2,,,,,,,,,,,,,,,,,,,,,Alcatraz,,,,,,,181.5,,,,,,,,837.7,,,,,,,,,,,,,,,,,Alcatraz,31.94,594.2,433.3,34.72,37.50,32.56,35.11,38.33,37.89,40.67,41.11,36.72,33.50,38.33,39.50,39.06,41.11,39.89,39.89,41.50,42.67,42.26,42.67,44.28,44.28,
E Pluribus Unum,Des Moines,18,27300,,,,112.6,,,,,,,,,,194.8,,,,,,,,,,,,,,,,,,,,,,90.2,,,,,,,,,,,,,,,,,,Des Moines,,,,,,,,,,,,,,198.8,228.1,,,,,,,,,Des Moines,,,195.0,,,,,,,,380.7,,,,,,,,,,,,25.3,,,,,,,,,Des Moines,31.94,594.2,433.3,34.72,37.50,32.56,35.11,38.33,37.89,40.67,41.11,36.72,33.50,38.33,39.50,39.06,41.11,39.89,39.89,41.50,42.67,42.26,42.67,44.28,44.28,
E Pluribus Unum,Montgomery,18,4634,28.8,,,117.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Montgomery,,58.5,,,,,,,,,,,,,,,,,,,,,,Montgomery,,175.7,,,,,,,,436.6,,,,,,,,,,,,,,,,,,,,,,Montgomery,33.06,644.9,447.8,35.83,38.61,33.67,36.33,39.67,39.11,41.89,42.44,38.00,34.67,39.67,40.78,40.22,42.44,41.28,41.28,42.94,44.06,43.54,44.06,45.72,45.72,
E Pluribus Unum,Lubbock,18,2044,32.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.2,,,,,,,,,,,,Lubbock,89.5,150.2,,,,,,,,,,,,203.3,,,,,,,,,,Lubbock,,,,,,,,,,,,,,,,,,,,,,23.4,,,,,,,,,,Lubbock,34.17,697.3,462.2,36.94,39.72,34.83,37.56,41.00,40.33,43.11,43.78,39.28,35.83,41.00,42.06,41.39,43.78,42.67,42.67,44.39,45.44,44.82,45.44,47.17,47.17,
E Pluribus Unum,Alexandria,18,12910,33.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.4,,,,,,,,,,,,,Alexandria,121.4,370.2,180.2,,,,,,,226.3,,,,,,,,,,,,,,Alexandria,,,,,,,,,,,,,,,,,,23.5,,,,,,,,,,,,,,Alexandria,34.17,697.3,462.2,36.94,39.72,34.83,37.56,41.00,40.33,43.11,43.78,39.28,35.83,41.00,42.06,41.39,43.78,42.67,42.67,44.39,45.44,44.82,45.44,47.17,47.17,
E Pluribus Unum,Kearney,18,2205,32.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.4,,,,,,,,,,,,,,Kearney,136.3,,116.6,,,,,,,,193.3,,,,,,,,,,,,,Kearney,,,,,,,,,,,,,,,,,,,22.9,,,,,,,,,,,,,Kearney,34.17,697.3,462.2,36.94,39.72,34.83,37.56,41.00,40.33,43.11,43.78,39.28,35.83,41.00,42.06,41.39,43.78,42.67,42.67,44.39,45.44,44.82,45.44,47.17,47.17,
E Pluribus Unum,Charlotte,20,383720,41.6,,,31.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Charlotte,,234.2,232.8,,459.8,,,,,,,,,,,,,,,,,,,Charlotte,,,234.3,,,,78.6,,,,565.8,,,,191.9,,,,,,,,,,,,,,,,,Charlotte,35.75,887.6,481.0,38.25,40.75,36.45,39.30,42.90,41.80,44.30,45.40,41.10,37.50,42.90,43.60,42.50,45.40,44.65,44.65,46.45,47.15,46.09,47.15,48.95,48.95,
E Pluribus Unum,Washington,20,1551,37.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242.3,,,,,,,,,,,,,,,Washington,143.1,369.5,441.0,,339.7,,,,,,,,,,,,621.4,,,,,,,Washington,,,,,,,,,,,,,,,,,,,,,,,,,22.6,,,,,,,Washington,37.25,973.4,500.5,39.75,42.25,37.95,40.95,44.70,43.45,45.95,47.20,42.80,39.10,44.70,45.30,44.10,47.20,46.55,46.55,48.40,49.05,47.81,49.05,50.90,50.90,
E Pluribus Unum,Chicago,21,3594,,,,,,,,,,,,,,,,,,,52.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chicago,,91.8,,,,,,,,129.3,,,,,,,,556.8,,,,,,Chicago,,,,,,,,,,,,,,,,,,420.0,,,,,,,,,,,,,,Chicago,36.90,"1,012.2",495.2,39.29,41.67,37.62,40.57,44.29,42.95,45.33,46.67,42.43,38.71,44.29,44.81,43.48,46.67,46.10,46.10,47.95,48.48,47.18,48.48,50.33,50.33,
